date,product,region,units_sold,revenue
2026-01-03,Widget,North,42,1260.00
2026-01-05,Gadget,South,18,899.10
2026-01-07,Widget,East,55,1650.00
2026-01-09,Sprocket,West,12,540.00
2026-01-12,Gadget,North,27,1349.73
2026-01-15,Widget,South,38,1140.00
2026-01-18,Sprocket,East,9,405.00
2026-01-21,Gadget,West,33,1649.67
2026-01-24,Widget,North,61,1830.00
2026-01-27,Sprocket,South,15,675.00
2026-02-01,Gadget,East,22,1099.78
2026-02-04,Widget,West,47,1410.00
2026-02-07,Sprocket,North,11,495.00
2026-02-10,Gadget,South,29,1449.71
2026-02-13,Widget,East,52,1560.00
2026-02-16,Sprocket,West,14,630.00
2026-02-19,Gadget,North,31,1549.69
2026-02-22,Widget,South,44,1320.00
2026-02-25,Sprocket,East,8,360.00
2026-02-28,Gadget,West,36,1799.64
2026-03-03,Widget,North,49,1470.00
2026-03-06,Sprocket,South,17,765.00
